id_servicio,titulo,descripcion,habilidades_requeridas,fecha_publicacion,estado
2407,Redactor de contenido,"Importante empresa solicita apoyo en el área de ciencia de datos, python, mecánica automotriz.","Ciencia de datos, Python, Mecánica automotriz",2025-03-25,Cerrado
2408,Redactor de contenido,"Colaboración independiente para tareas de css, diseño ux/ui, html.","CSS, Diseño UX/UI, HTML",2024-12-28,Abierto
2409,Community manager,"Se busca profesional con experiencia en seo, traducción.","SEO, Traducción",2024-11-15,Abierto
2410,Fotógrafo,"Se busca profesional con experiencia en redacción, photoshop.","Redacción, Photoshop",2025-01-03,Abierto
2411,Fotógrafo,"Colaboración independiente para tareas de marketing digital, mecánica automotriz, servicio al cliente, carpintería.","Marketing digital, Mecánica automotriz, Servicio al cliente, Carpintería",2025-02-23,Cerrado
2412,Mecánico automotriz,"Se busca profesional con experiencia en html, diseño ux/ui.","HTML, Diseño UX/UI",2025-02-22,Abierto
2413,Barista,"Colaboración independiente para tareas de photoshop, administración, instalaciones eléctricas.","Photoshop, Administración, Instalaciones eléctricas",2025-04-11,Abierto
2414,Diseñador UX/UI,"Se requiere conocimiento en ciencia de datos, programación en java.","Ciencia de datos, Programación en Java",2025-04-02,Cerrado
2415,Repartidor,"Se requiere conocimiento en html, javascript.","HTML, JavaScript",2025-04-01,Cerrado
2416,Maestro de matemáticas,"Se requiere conocimiento en javascript, ventas, soporte técnico, terapia física.","JavaScript, Ventas, Soporte técnico, Terapia Física",2025-04-14,Abierto
2417,Desarrollador web,"Importante empresa solicita apoyo en el área de illustrator, instalaciones eléctricas, css, html.","Illustrator, Instalaciones eléctricas, CSS, HTML",2025-01-04,Abierto
2418,Psicólogo educativo,"Importante empresa solicita apoyo en el área de illustrator, python, diseño gráfico, administración.","Illustrator, Python, Diseño gráfico, Administración",2025-04-18,Cerrado
2419,Instalador eléctrico,"Importante empresa solicita apoyo en el área de tramitología, traducción, ventas, instalaciones eléctricas.","Tramitología, Traducción, Ventas, Instalaciones eléctricas",2024-12-07,Abierto
2420,Fotógrafo,"Trabajo temporal relacionado con inglés avanzado, ventas.","Inglés avanzado, Ventas",2025-03-05,Abierto
2421,Repartidor,"Trabajo temporal relacionado con administración, carpintería, ciencia de datos.","Administración, Carpintería, Ciencia de datos",2024-12-28,Cerrado
2422,Desarrollador web,"Trabajo temporal relacionado con ventas, terapia física, marketing digital.","Ventas, Terapia Física, Marketing digital",2025-03-27,Abierto
2423,Electricista,"Se requiere conocimiento en ciencia de datos, javascript.","Ciencia de datos, JavaScript",2025-03-06,Abierto
2424,Repartidor,"Trabajo temporal relacionado con servicio al cliente, illustrator.","Servicio al cliente, Illustrator",2025-04-17,Abierto
2425,Terapista físico,"Trabajo temporal relacionado con redacción, atención al cliente, carpintería.","Redacción, Atención al cliente, Carpintería",2025-01-11,Abierto
2426,Programador Python,"Colaboración independiente para tareas de programación en java, electricidad, ventas.","Programación en Java, Electricidad, Ventas",2025-03-29,Abierto
2427,Editor de video,"Se requiere conocimiento en seo, css, javascript, photoshop.","SEO, CSS, JavaScript, Photoshop",2025-03-09,Abierto
2428,Enfermero auxiliar,"Se requiere conocimiento en css, diseño ux/ui, javascript, servicio al cliente.","CSS, Diseño UX/UI, JavaScript, Servicio al cliente",2024-11-14,Abierto
2429,Auxiliar contable,"Se requiere conocimiento en electricidad, python, photoshop, inglés avanzado.","Electricidad, Python, Photoshop, Inglés avanzado",2024-12-17,Abierto
2430,Traductor,"Trabajo temporal relacionado con ciencia de datos, terapia física, contabilidad, redacción.","Ciencia de datos, Terapia Física, Contabilidad, Redacción",2025-04-14,Cerrado
2431,Diseñador gráfico,"Trabajo temporal relacionado con marketing digital, diseño gráfico.","Marketing digital, Diseño gráfico",2024-11-12,Cerrado
2432,Auxiliar contable,"Trabajo temporal relacionado con ventas, marketing digital.","Ventas, Marketing digital",2025-04-01,Cerrado
2433,Instalador eléctrico,"Se requiere conocimiento en contabilidad, mecánica automotriz, diseño ux/ui.","Contabilidad, Mecánica automotriz, Diseño UX/UI",2024-10-28,Cerrado
2434,Barista,"Se busca profesional con experiencia en photoshop, contabilidad, inglés avanzado, instalaciones eléctricas.","Photoshop, Contabilidad, Inglés avanzado, Instalaciones eléctricas",2025-03-11,Abierto
2435,Psicólogo educativo,"Trabajo temporal relacionado con diseño ux/ui, illustrator, css, inglés avanzado.","Diseño UX/UI, Illustrator, CSS, Inglés avanzado",2024-12-09,Abierto
2436,Enfermero auxiliar,"Colaboración independiente para tareas de administración, servicio al cliente, mecánica automotriz.","Administración, Servicio al cliente, Mecánica automotriz",2025-02-16,Cerrado
2437,Instalador eléctrico,"Se requiere conocimiento en mecánica automotriz, contabilidad, photoshop.","Mecánica automotriz, Contabilidad, Photoshop",2025-04-01,Abierto
2438,Traductor,"Colaboración independiente para tareas de instalaciones eléctricas, soporte técnico.","Instalaciones eléctricas, Soporte técnico",2024-11-24,Abierto
2439,Profesor de inglés,"Colaboración independiente para tareas de electricidad, servicio al cliente.","Electricidad, Servicio al cliente",2024-11-30,Abierto
2440,Traductor,"Importante empresa solicita apoyo en el área de photoshop, carpintería, soporte técnico, ciencia de datos.","Photoshop, Carpintería, Soporte técnico, Ciencia de datos",2025-01-21,Cerrado
2441,Cocinero,"Importante empresa solicita apoyo en el área de html, atención al cliente, python.","HTML, Atención al cliente, Python",2024-12-17,Cerrado
2442,Enfermero auxiliar,"Importante empresa solicita apoyo en el área de administración, marketing digital, inglés avanzado, photoshop.","Administración, Marketing digital, Inglés avanzado, Photoshop",2025-03-07,Abierto
2443,Mecánico automotriz,"Se busca profesional con experiencia en photoshop, soporte técnico, ventas.","Photoshop, Soporte técnico, Ventas",2025-04-05,Abierto
2444,Psicólogo educativo,"Se busca profesional con experiencia en mecánica automotriz, diseño ux/ui.","Mecánica automotriz, Diseño UX/UI",2024-11-02,Cerrado
2445,Cocinero,"Se requiere conocimiento en redacción, diseño ux/ui, atención al cliente.","Redacción, Diseño UX/UI, Atención al cliente",2024-12-13,Abierto
2446,Desarrollador web,"Colaboración independiente para tareas de css, diseño gráfico, inglés avanzado.","CSS, Diseño gráfico, Inglés avanzado",2024-12-01,Cerrado
2447,Asistente administrativo,"Colaboración independiente para tareas de mecánica automotriz, illustrator.","Mecánica automotriz, Illustrator",2025-03-17,Cerrado
2448,Vendedor telefónico,"Trabajo temporal relacionado con illustrator, photoshop.","Illustrator, Photoshop",2025-01-17,Abierto
2449,Instalador eléctrico,"Se requiere conocimiento en carpintería, inglés avanzado.","Carpintería, Inglés avanzado",2025-01-22,Cerrado
2450,Maestro de matemáticas,"Importante empresa solicita apoyo en el área de diseño ux/ui, redacción, inglés avanzado, css.","Diseño UX/UI, Redacción, Inglés avanzado, CSS",2025-04-17,Cerrado
2451,Diseñador industrial,"Se requiere conocimiento en traducción, diseño gráfico, ciencia de datos, ventas.","Traducción, Diseño gráfico, Ciencia de datos, Ventas",2024-11-26,Cerrado
2452,Traductor,"Colaboración independiente para tareas de diseño gráfico, atención al cliente, diseño ux/ui.","Diseño gráfico, Atención al cliente, Diseño UX/UI",2025-02-06,Cerrado
2453,Cocinero,"Se requiere conocimiento en photoshop, instalaciones eléctricas.","Photoshop, Instalaciones eléctricas",2025-03-23,Abierto
2454,Diseñador industrial,"Se busca profesional con experiencia en javascript, carpintería, instalaciones eléctricas, programación en java.","JavaScript, Carpintería, Instalaciones eléctricas, Programación en Java",2025-01-01,Abierto
2455,Especialista en SEO,"Colaboración independiente para tareas de marketing digital, terapia física, administración.","Marketing digital, Terapia Física, Administración",2025-02-22,Abierto
2456,Técnico en soporte,"Se busca profesional con experiencia en ventas, redacción, photoshop, servicio al cliente.","Ventas, Redacción, Photoshop, Servicio al cliente",2024-11-01,Cerrado
2457,Profesor de inglés,"Trabajo temporal relacionado con marketing digital, redacción, administración.","Marketing digital, Redacción, Administración",2024-12-20,Abierto
2458,Programador Python,"Colaboración independiente para tareas de marketing digital, terapia física.","Marketing digital, Terapia Física",2024-12-10,Cerrado
2459,Fotógrafo,"Importante empresa solicita apoyo en el área de tramitología, programación en java.","Tramitología, Programación en Java",2025-02-19,Abierto
2460,Profesor de inglés,"Se busca profesional con experiencia en ventas, html.","Ventas, HTML",2024-11-01,Abierto
2461,Traductor,"Colaboración independiente para tareas de servicio al cliente, carpintería.","Servicio al cliente, Carpintería",2024-12-21,Abierto
2462,Editor de video,"Se requiere conocimiento en terapia física, seo, electricidad, traducción.","Terapia Física, SEO, Electricidad, Traducción",2024-12-24,Abierto
2463,Vendedor telefónico,"Se requiere conocimiento en html, administración.","HTML, Administración",2024-12-02,Abierto
2464,Vendedor telefónico,"Trabajo temporal relacionado con illustrator, atención al cliente, ventas, marketing digital.","Illustrator, Atención al cliente, Ventas, Marketing digital",2025-03-27,Cerrado
2465,Diseñador UX/UI,"Colaboración independiente para tareas de diseño ux/ui, redacción, ventas, electricidad.","Diseño UX/UI, Redacción, Ventas, Electricidad",2024-12-15,Abierto
2466,Mecánico automotriz,"Colaboración independiente para tareas de electricidad, css, mecánica automotriz.","Electricidad, CSS, Mecánica automotriz",2024-10-31,Cerrado
2467,Diseñador industrial,"Importante empresa solicita apoyo en el área de diseño gráfico, terapia física, carpintería, soporte técnico.","Diseño gráfico, Terapia Física, Carpintería, Soporte técnico",2025-03-08,Cerrado
2468,Traductor,"Importante empresa solicita apoyo en el área de administración, photoshop, marketing digital, contabilidad.","Administración, Photoshop, Marketing digital, Contabilidad",2025-03-17,Cerrado
2469,Vendedor telefónico,"Importante empresa solicita apoyo en el área de python, servicio al cliente.","Python, Servicio al cliente",2024-11-24,Cerrado
2470,Fotógrafo,"Colaboración independiente para tareas de ventas, mecánica automotriz.","Ventas, Mecánica automotriz",2024-11-25,Cerrado
2471,Asistente administrativo,"Colaboración independiente para tareas de instalaciones eléctricas, electricidad, servicio al cliente.","Instalaciones eléctricas, Electricidad, Servicio al cliente",2025-01-09,Cerrado
2472,Diseñador UX/UI,"Trabajo temporal relacionado con marketing digital, tramitología, programación en java, seo.","Marketing digital, Tramitología, Programación en Java, SEO",2025-04-03,Cerrado
2473,Especialista en SEO,"Colaboración independiente para tareas de tramitología, soporte técnico, python, seo.","Tramitología, Soporte técnico, Python, SEO",2024-12-11,Cerrado
2474,Desarrollador web,"Colaboración independiente para tareas de inglés avanzado, css.","Inglés avanzado, CSS",2024-12-14,Abierto
2475,Mecánico automotriz,"Colaboración independiente para tareas de traducción, instalaciones eléctricas, programación en java.","Traducción, Instalaciones eléctricas, Programación en Java",2025-04-06,Cerrado
2476,Diseñador UX/UI,"Se busca profesional con experiencia en redacción, soporte técnico, atención al cliente, electricidad.","Redacción, Soporte técnico, Atención al cliente, Electricidad",2025-03-13,Abierto
2477,Profesor de inglés,"Importante empresa solicita apoyo en el área de diseño ux/ui, mecánica automotriz.","Diseño UX/UI, Mecánica automotriz",2025-03-23,Cerrado
2478,Terapista físico,"Importante empresa solicita apoyo en el área de seo, soporte técnico.","SEO, Soporte técnico",2025-01-17,Abierto
2479,Diseñador industrial,"Colaboración independiente para tareas de inglés avanzado, ventas.","Inglés avanzado, Ventas",2025-03-20,Cerrado
2480,Diseñador UX/UI,"Importante empresa solicita apoyo en el área de servicio al cliente, soporte técnico.","Servicio al cliente, Soporte técnico",2025-04-02,Cerrado
2481,Desarrollador web,"Trabajo temporal relacionado con ciencia de datos, mecánica automotriz, electricidad.","Ciencia de datos, Mecánica automotriz, Electricidad",2024-11-29,Cerrado
2482,Diseñador industrial,"Trabajo temporal relacionado con ventas, marketing digital.","Ventas, Marketing digital",2025-04-18,Cerrado
