habilidades,experiencia_lab,calificacion,nivel,profesion,ID,disponibilidad
"HTML, Carpintería, Diseño UX/UI",19,3.4,Medio,Otro,947,Medio tiempo
"Programación en Java, HTML, Instalaciones eléctricas, SEO",10,1.1,Medio,Otro,948,Tiempo completo
"Ciencia de datos, Mecánica automotriz, Instalaciones eléctricas",11,4.4,Senior,Ingeniero,949,Medio tiempo
"Carpintería, Redacción, Tramitología",15,4.8,Senior,Otro,950,Tiempo completo
"Traducción, Contabilidad, JavaScript, Photoshop",10,1.3,Junior,Otro,951,Tiempo completo
"Soporte técnico, Tramitología, Instalaciones eléctricas, Mecánica automotriz",3,4.7,Junior,Otro,952,Medio tiempo
"Mecánica automotriz, Illustrator, Atención al cliente, Electricidad, Administración",9,2.9,Junior,Otro,953,Medio tiempo
"HTML, Instalaciones eléctricas, Electricidad",9,3.6,Junior,Otro,954,Medio tiempo
"Python, Marketing digital, Inglés avanzado, Atención al cliente",2,1.9,Junior,Otro,955,Medio tiempo
"Servicio al cliente, Mecánica automotriz, Contabilidad, JavaScript, Ventas",8,2.7,Junior,Otro,956,Tiempo completo
"Soporte técnico, SEO, Diseño gráfico",10,2.0,Senior,Otro,957,Medio tiempo
"Tramitología, Terapia Física, Illustrator, Inglés avanzado",6,2.1,Senior,Otro,958,Tiempo completo
"Servicio al cliente, Photoshop, Programación en Java, Traducción, Python",15,4.7,Senior,Otro,959,Tiempo completo
"Ventas, Illustrator, Tramitología",7,4.3,Junior,Otro,960,Tiempo completo
"SEO, Servicio al cliente, Contabilidad, Photoshop",15,5.0,Junior,Otro,961,Tiempo completo
"Marketing digital, Illustrator, Electricidad, HTML",11,1.9,Senior,Licenciado,962,Medio tiempo
"Ciencia de datos, Diseño UX/UI, Traducción",14,3.9,Senior,Otro,963,Medio tiempo
"Marketing digital, Contabilidad, Programación en Java, Photoshop",7,2.4,Medio,Otro,964,Tiempo completo
"Tramitología, Redacción, Traducción",17,4.3,Medio,Otro,965,Tiempo completo
"Administración, Instalaciones eléctricas, Illustrator, CSS, Diseño gráfico",18,3.8,Senior,Otro,966,Medio tiempo
"Ciencia de datos, Terapia Física, Traducción, Instalaciones eléctricas",20,3.8,Senior,Otro,967,Tiempo completo
"Diseño UX/UI, Inglés avanzado, Administración",11,1.7,Senior,Otro,968,Medio tiempo
"Inglés avanzado, Contabilidad, JavaScript, Carpintería, Soporte técnico",16,2.7,Senior,Otro,969,Medio tiempo
"Instalaciones eléctricas, Marketing digital, SEO, Atención al cliente",12,3.5,Senior,Otro,970,Tiempo completo
"Servicio al cliente, Terapia Física, HTML, Atención al cliente",14,2.6,Junior,Otro,971,Medio tiempo
"SEO, Servicio al cliente, Atención al cliente, JavaScript",19,2.9,Senior,Otro,972,Tiempo completo
"Marketing digital, Carpintería, Traducción, Redacción, Instalaciones eléctricas",16,3.5,Junior,Otro,973,Medio tiempo
"Inglés avanzado, Photoshop, Electricidad, Soporte técnico",8,2.8,Senior,Otro,974,Medio tiempo
"Marketing digital, Administración, Photoshop, Ciencia de datos",13,4.0,Senior,Otro,975,Tiempo completo
"Diseño gráfico, Marketing digital, Servicio al cliente",8,4.4,Junior,Otro,976,Tiempo completo
"Diseño gráfico, Instalaciones eléctricas, Contabilidad, Electricidad, Photoshop",17,4.1,Junior,Otro,977,Tiempo completo
"Diseño gráfico, Tramitología, Inglés avanzado, Traducción",6,4.5,Senior,Ingeniero,978,Medio tiempo
"Illustrator, Marketing digital, Tramitología",17,4.9,Senior,Otro,979,Medio tiempo
"Mecánica automotriz, Photoshop, Electricidad, Atención al cliente",9,3.2,Senior,Otro,980,Tiempo completo
"Electricidad, Inglés avanzado, Instalaciones eléctricas",18,4.9,Senior,Otro,981,Tiempo completo
"CSS, Ventas, Diseño gráfico",18,1.7,Junior,Otro,982,Medio tiempo
"Contabilidad, Inglés avanzado, CSS",15,3.3,Senior,Otro,983,Medio tiempo
"Servicio al cliente, Python, Traducción, Ciencia de datos, Inglés avanzado",16,2.9,Junior,Otro,984,Tiempo completo
"Instalaciones eléctricas, Illustrator, Diseño UX/UI",14,4.2,Medio,Otro,985,Tiempo completo
"Atención al cliente, SEO, Diseño gráfico",9,2.0,Junior,Otro,986,Tiempo completo
"Marketing digital, Inglés avanzado, Redacción, Electricidad, JavaScript",7,2.0,Medio,Otro,987,Medio tiempo
"Redacción, Marketing digital, Photoshop, Carpintería, Soporte técnico",18,2.8,Senior,Otro,988,Tiempo completo
"Marketing digital, Carpintería, Instalaciones eléctricas, HTML, Redacción",12,1.9,Senior,Otro,989,Tiempo completo
"Terapia Física, JavaScript, Illustrator, Diseño gráfico",16,2.6,Medio,Otro,990,Medio tiempo
"Photoshop, Ciencia de datos, Tramitología, Administración, Diseño gráfico",19,4.9,Medio,Otro,991,Tiempo completo
"HTML, Administración, Electricidad",20,1.6,Medio,Otro,992,Medio tiempo
"Ventas, Redacción, Administración, Instalaciones eléctricas",5,3.3,Senior,Otro,993,Tiempo completo
"Electricidad, Mecánica automotriz, Programación en Java",18,4.6,Senior,Otro,994,Medio tiempo
"Redacción, Marketing digital, Inglés avanzado, Terapia Física, SEO",11,2.4,Senior,Otro,995,Medio tiempo
"Tramitología, Carpintería, Instalaciones eléctricas, Mecánica automotriz",18,1.7,Junior,Otro,996,Medio tiempo
"Inglés avanzado, Soporte técnico, CSS, SEO, Programación en Java",2,4.8,Senior,Otro,997,Medio tiempo
"Python, Photoshop, Tramitología, Instalaciones eléctricas, Electricidad",19,4.9,Medio,Otro,998,Tiempo completo
"CSS, Ciencia de datos, Photoshop",17,2.0,Medio,Otro,999,Medio tiempo
"Atención al cliente, Marketing digital, Traducción, Soporte técnico, Terapia Física",13,2.6,Senior,Otro,1000,Tiempo completo
"Administración, Terapia Física, Mecánica automotriz, Ventas, Traducción",16,2.6,Junior,Otro,1001,Tiempo completo
"Soporte técnico, Carpintería, Marketing digital, SEO, Redacción",20,1.9,Junior,Otro,1002,Medio tiempo
"Redacción, SEO, Marketing digital, Inglés avanzado",17,4.6,Junior,Otro,1003,Medio tiempo
"Illustrator, Atención al cliente, Ventas, Servicio al cliente, HTML",7,1.9,Junior,Otro,1004,Tiempo completo
"Mecánica automotriz, Atención al cliente, HTML, Soporte técnico",7,3.7,Medio,Otro,1005,Medio tiempo
"Redacción, Instalaciones eléctricas, Diseño UX/UI, Contabilidad",19,3.6,Senior,Otro,1006,Tiempo completo
"Ventas, Photoshop, Terapia Física, Diseño gráfico, Marketing digital",11,1.6,Medio,Otro,1007,Medio tiempo
"Python, SEO, Ciencia de datos, JavaScript",8,2.4,Medio,Otro,1008,Tiempo completo
"Electricidad, Ventas, Atención al cliente, Redacción, Marketing digital",2,5.0,Senior,Ingeniero,1009,Medio tiempo
"Contabilidad, Administración, SEO, CSS, Ciencia de datos",11,2.4,Junior,Otro,1010,Medio tiempo
"Traducción, Carpintería, Instalaciones eléctricas",15,1.6,Junior,Otro,1011,Tiempo completo
"Ventas, Illustrator, Marketing digital, Diseño UX/UI",2,3.0,Senior,Otro,1012,Tiempo completo
"Carpintería, Servicio al cliente, Contabilidad, CSS, SEO",15,1.6,Senior,Otro,1013,Tiempo completo
"Traducción, Illustrator, Redacción",16,1.1,Junior,Otro,1014,Tiempo completo
"Marketing digital, Photoshop, Python, Atención al cliente, Ciencia de datos",3,4.9,Medio,Licenciado,1015,Tiempo completo
"Terapia Física, Diseño UX/UI, Traducción, Programación en Java, Mecánica automotriz",3,1.9,Senior,Otro,1016,Medio tiempo
"Programación en Java, Electricidad, Diseño gráfico, Inglés avanzado, Carpintería",19,3.8,Medio,Otro,1017,Tiempo completo
"Programación en Java, Contabilidad, HTML, Illustrator",8,4.2,Senior,Otro,1018,Medio tiempo
"Programación en Java, Terapia Física, CSS",18,2.0,Junior,Otro,1019,Medio tiempo
"Redacción, JavaScript, Programación en Java, Diseño gráfico",5,3.2,Medio,Otro,1020,Medio tiempo
"Servicio al cliente, Electricidad, Python, CSS, Inglés avanzado",1,2.4,Senior,Otro,1021,Medio tiempo
"Marketing digital, Diseño UX/UI, Diseño gráfico, Instalaciones eléctricas, Redacción",18,1.1,Senior,Ingeniero,1022,Medio tiempo
"HTML, Atención al cliente, Redacción, Ciencia de datos",14,2.2,Senior,Otro,1023,Medio tiempo
"Illustrator, Diseño UX/UI, Mecánica automotriz, Photoshop, Carpintería",10,2.4,Senior,Otro,1024,Tiempo completo
"Administración, Soporte técnico, Illustrator, Ventas, Python",1,2.6,Junior,Otro,1025,Tiempo completo
"CSS, JavaScript, Programación en Java",16,1.6,Medio,Otro,1026,Medio tiempo
"Traducción, Terapia Física, Carpintería, SEO, Administración",19,1.8,Junior,Otro,1027,Tiempo completo
"Electricidad, Soporte técnico, JavaScript, Photoshop, Diseño UX/UI",16,3.0,Medio,Ingeniero,1028,Medio tiempo
"Ciencia de datos, Electricidad, Inglés avanzado",18,2.1,Senior,Ingeniero,1029,Medio tiempo
"Atención al cliente, Marketing digital, Python",4,3.6,Senior,Otro,1030,Tiempo completo
"Terapia Física, Illustrator, Marketing digital, Mecánica automotriz",2,4.0,Medio,Otro,1031,Tiempo completo
"Inglés avanzado, Programación en Java, Administración, Carpintería, Redacción",1,4.6,Medio,Otro,1032,Tiempo completo
"Inglés avanzado, Servicio al cliente, JavaScript",13,2.5,Junior,Otro,1033,Medio tiempo
"Tramitología, Ciencia de datos, HTML",9,3.7,Junior,Otro,1034,Tiempo completo
"CSS, Diseño UX/UI, Photoshop, Python, Traducción",16,1.6,Senior,Otro,1035,Medio tiempo
"Atención al cliente, HTML, Mecánica automotriz",20,3.2,Junior,Otro,1036,Tiempo completo
"SEO, Programación en Java, Soporte técnico",3,4.1,Senior,Otro,1037,Medio tiempo
"Servicio al cliente, Terapia Física, Tramitología, Programación en Java, Mecánica automotriz",3,2.4,Senior,Otro,1038,Medio tiempo
"Contabilidad, Ventas, CSS, Traducción, Redacción",12,4.0,Senior,Otro,1039,Medio tiempo
"Administración, Atención al cliente, Redacción",2,1.2,Junior,Licenciado,1040,Tiempo completo
"Traducción, Mecánica automotriz, Diseño UX/UI, Ventas, Instalaciones eléctricas",14,3.5,Medio,Otro,1041,Tiempo completo
"Photoshop, Instalaciones eléctricas, Contabilidad, Inglés avanzado, Marketing digital",7,1.5,Senior,Licenciado,1042,Tiempo completo
"Diseño gráfico, Soporte técnico, Python",5,4.3,Junior,Otro,1043,Tiempo completo
"Python, Illustrator, Marketing digital",9,1.6,Junior,Otro,1044,Medio tiempo
"JavaScript, Photoshop, Redacción",14,4.3,Junior,Otro,1045,Tiempo completo
"JavaScript, Servicio al cliente, Tramitología",18,4.9,Senior,Otro,1046,Medio tiempo
"Python, Servicio al cliente, Marketing digital, Terapia Física, Administración",18,1.3,Junior,Otro,1047,Medio tiempo
"Tramitología, Servicio al cliente, HTML",19,2.4,Senior,Otro,1048,Tiempo completo
"HTML, Atención al cliente, JavaScript, Illustrator",13,2.5,Senior,Otro,1049,Tiempo completo
"Atención al cliente, Administración, Terapia Física, Contabilidad, Python",15,3.9,Junior,Otro,1050,Medio tiempo
"JavaScript, Soporte técnico, Traducción, Mecánica automotriz, Terapia Física",5,3.5,Senior,Otro,1051,Medio tiempo
"Contabilidad, Photoshop, Illustrator, Ventas",16,4.1,Senior,Otro,1052,Tiempo completo
"Electricidad, Contabilidad, Diseño UX/UI, Administración, Ciencia de datos",5,2.2,Medio,Otro,1053,Medio tiempo
"Electricidad, Mecánica automotriz, Inglés avanzado, Servicio al cliente",14,3.0,Junior,Otro,1054,Tiempo completo
"Python, Terapia Física, Administración",6,4.8,Senior,Otro,1055,Medio tiempo
"Illustrator, Diseño UX/UI, Administración",13,2.6,Junior,Otro,1056,Tiempo completo
"Marketing digital, Mecánica automotriz, Atención al cliente, Diseño UX/UI",12,1.9,Junior,Otro,1057,Tiempo completo
"SEO, Electricidad, Photoshop, CSS, Terapia Física",1,1.3,Junior,Otro,1058,Medio tiempo
"Redacción, Ciencia de datos, Carpintería",2,3.6,Senior,Otro,1059,Medio tiempo
"Traducción, CSS, Ventas",20,1.3,Medio,Otro,1060,Tiempo completo
"Soporte técnico, Contabilidad, Instalaciones eléctricas",7,2.9,Junior,Otro,1061,Medio tiempo
"Ventas, Instalaciones eléctricas, Atención al cliente, Inglés avanzado",9,3.5,Medio,Ingeniero,1062,Medio tiempo
"Diseño gráfico, Electricidad, Programación en Java, CSS, Contabilidad",9,2.1,Medio,Otro,1063,Medio tiempo
"Electricidad, Carpintería, Atención al cliente, Ventas, Inglés avanzado",1,4.6,Medio,Otro,1064,Medio tiempo
"Instalaciones eléctricas, Diseño gráfico, Inglés avanzado, Traducción",20,3.5,Senior,Otro,1065,Tiempo completo
"Ventas, JavaScript, Ciencia de datos, SEO, Instalaciones eléctricas",20,1.0,Senior,Otro,1066,Medio tiempo
"Instalaciones eléctricas, SEO, CSS",20,2.5,Senior,Otro,1067,Tiempo completo
"JavaScript, HTML, Contabilidad, Python, Diseño UX/UI",17,3.7,Junior,Otro,1068,Medio tiempo
"JavaScript, Terapia Física, Redacción",15,3.2,Senior,Otro,1069,Tiempo completo
"Inglés avanzado, Servicio al cliente, Contabilidad",16,4.7,Junior,Otro,1070,Medio tiempo
"Redacción, Mecánica automotriz, Traducción, Terapia Física",18,1.0,Medio,Otro,1071,Medio tiempo
"HTML, Terapia Física, Diseño UX/UI, Marketing digital",4,2.6,Junior,Ingeniero,1072,Tiempo completo
"Ventas, Contabilidad, Redacción, Terapia Física, Marketing digital",17,4.0,Junior,Licenciado,1073,Medio tiempo
"Tramitología, Contabilidad, Diseño gráfico",18,1.1,Junior,Otro,1074,Tiempo completo
"Terapia Física, Soporte técnico, Ventas",15,1.4,Medio,Otro,1075,Tiempo completo
"Marketing digital, Ciencia de datos, Photoshop",16,3.4,Junior,Otro,1076,Tiempo completo
"Traducción, Carpintería, Redacción, Electricidad",5,1.9,Senior,Otro,1077,Tiempo completo
"JavaScript, Tramitología, Marketing digital, Redacción, Instalaciones eléctricas",6,3.6,Senior,Otro,1078,Tiempo completo
"Traducción, Soporte técnico, Atención al cliente, Carpintería",6,2.5,Medio,Otro,1079,Tiempo completo
"Python, Ciencia de datos, Marketing digital",14,3.9,Junior,Licenciado,1080,Tiempo completo
"Electricidad, Inglés avanzado, Mecánica automotriz",3,2.7,Medio,Otro,1081,Tiempo completo
"Redacción, Programación en Java, Illustrator",5,3.3,Medio,Otro,1082,Medio tiempo
"Soporte técnico, Photoshop, JavaScript, CSS, Servicio al cliente",7,1.1,Junior,Otro,1083,Medio tiempo
"Contabilidad, SEO, Inglés avanzado, Carpintería",17,3.2,Medio,Otro,1084,Tiempo completo
"Photoshop, Marketing digital, JavaScript",20,4.0,Junior,Otro,1085,Tiempo completo
"Soporte técnico, JavaScript, Diseño UX/UI, CSS",4,3.8,Medio,Otro,1086,Tiempo completo
"Carpintería, Ventas, Servicio al cliente, Ciencia de datos, Atención al cliente",2,4.8,Senior,Otro,1087,Tiempo completo
"Ventas, CSS, Carpintería, Diseño UX/UI, Redacción",4,4.3,Senior,Otro,1088,Tiempo completo
"Soporte técnico, Ventas, Ciencia de datos",10,2.9,Junior,Otro,1089,Medio tiempo
"Tramitología, Servicio al cliente, JavaScript",9,4.5,Junior,Otro,1090,Medio tiempo
"Programación en Java, Contabilidad, Ciencia de datos",2,4.2,Senior,Otro,1091,Medio tiempo
"Ciencia de datos, CSS, Atención al cliente, Contabilidad, Inglés avanzado",13,1.7,Senior,Otro,1092,Tiempo completo
"Terapia Física, Instalaciones eléctricas, Python, HTML, Ciencia de datos",9,1.9,Senior,Otro,1093,Medio tiempo
"Mecánica automotriz, Atención al cliente, Carpintería, Terapia Física",16,2.3,Junior,Otro,1094,Medio tiempo
"Inglés avanzado, Contabilidad, Illustrator, Redacción",3,3.6,Junior,Otro,1095,Medio tiempo
"Servicio al cliente, HTML, Python, SEO",10,2.1,Senior,Licenciado,1096,Medio tiempo
"Administración, Ciencia de datos, Mecánica automotriz, Servicio al cliente, Terapia Física",2,2.7,Junior,Otro,1097,Tiempo completo
"Python, CSS, Atención al cliente",10,4.7,Medio,Otro,1098,Tiempo completo
"SEO, HTML, Electricidad, Python",17,4.7,Medio,Otro,1099,Tiempo completo
"Instalaciones eléctricas, Traducción, Redacción, Mecánica automotriz",2,2.8,Senior,Otro,1100,Medio tiempo
"Illustrator, Instalaciones eléctricas, Soporte técnico",12,4.7,Junior,Otro,1101,Tiempo completo
"JavaScript, CSS, Electricidad",13,2.9,Junior,Otro,1102,Tiempo completo
"Illustrator, Ventas, JavaScript, Photoshop, HTML",10,4.0,Senior,Otro,1103,Tiempo completo
"Mecánica automotriz, Soporte técnico, Instalaciones eléctricas",2,3.4,Medio,Otro,1104,Medio tiempo
"Mecánica automotriz, Redacción, HTML",6,2.7,Medio,Otro,1105,Tiempo completo
"Administración, Contabilidad, JavaScript, Inglés avanzado",20,1.8,Junior,Otro,1106,Medio tiempo
"Administración, Photoshop, Ventas, Inglés avanzado",13,4.8,Medio,Otro,1107,Medio tiempo
"Carpintería, Ventas, Instalaciones eléctricas, Diseño gráfico",16,4.4,Junior,Otro,1108,Tiempo completo
"Electricidad, JavaScript, Contabilidad",14,3.8,Medio,Otro,1109,Tiempo completo
"Carpintería, Servicio al cliente, Diseño gráfico, Traducción, Soporte técnico",13,2.7,Junior,Otro,1110,Medio tiempo
"Electricidad, Diseño gráfico, Instalaciones eléctricas, Contabilidad, Mecánica automotriz",18,1.6,Medio,Otro,1111,Tiempo completo
"JavaScript, Atención al cliente, Servicio al cliente, CSS, Diseño UX/UI",5,1.1,Junior,Otro,1112,Tiempo completo
"Administración, Python, Redacción, Instalaciones eléctricas",3,1.9,Junior,Otro,1113,Medio tiempo
"Servicio al cliente, CSS, Terapia Física, Ventas, Atención al cliente",19,1.1,Senior,Otro,1114,Medio tiempo
"Redacción, Programación en Java, Terapia Física, Ventas",4,2.7,Medio,Otro,1115,Medio tiempo
"Illustrator, Carpintería, Instalaciones eléctricas, Atención al cliente",7,2.8,Junior,Otro,1116,Medio tiempo
"Electricidad, Diseño UX/UI, Mecánica automotriz, CSS, Programación en Java",20,2.8,Junior,Otro,1117,Medio tiempo
"Mecánica automotriz, Atención al cliente, Terapia Física, Ciencia de datos, Administración",16,1.6,Medio,Otro,1118,Medio tiempo
"Soporte técnico, Traducción, Instalaciones eléctricas, Photoshop",8,3.5,Medio,Otro,1119,Medio tiempo
"CSS, Terapia Física, Marketing digital, Redacción, Programación en Java",11,1.0,Senior,Otro,1120,Medio tiempo
"Inglés avanzado, Soporte técnico, Diseño UX/UI, Illustrator",10,4.1,Junior,Otro,1121,Medio tiempo
"SEO, Ciencia de datos, Inglés avanzado, Administración",17,3.5,Medio,Otro,1122,Tiempo completo
"Diseño gráfico, Inglés avanzado, JavaScript",4,3.0,Medio,Otro,1123,Tiempo completo
"Redacción, Photoshop, Ventas, Electricidad",14,2.4,Junior,Otro,1124,Tiempo completo
"Soporte técnico, Diseño gráfico, Redacción",20,1.8,Medio,Otro,1125,Tiempo completo
"Ventas, Redacción, CSS",2,4.3,Junior,Otro,1126,Medio tiempo
"Carpintería, Redacción, Mecánica automotriz, Diseño gráfico",2,4.3,Junior,Otro,1127,Medio tiempo
"Redacción, Traducción, Illustrator, Ciencia de datos, Mecánica automotriz",19,3.9,Medio,Otro,1128,Tiempo completo
